# Tea file
# notes: If you add additional tea potion effects, ensure to add to add it's name to the language file.

# Default recipes
<start_recipe>  <name>tea_pyromancy;  <input1> <plant>pyromancy;  <input2> <plant>pyromancy;  <input3> <plant>pyromancy;  <potion>som:pyromancy, <duration>1200, <amplifier>0;  
<start_recipe>  <name>tea_heliomancy;  <input1> <plant>heliomancy;  <input2> <plant>heliomancy;  <input3> <plant>heliomancy;  <potion>som:heliomancy, <duration>1200, <amplifier>0;  
<start_recipe>  <name>tea_aeromancy;  <input1> <plant>aeromancy;  <input2> <plant>aeromancy;  <input3> <plant>aeromancy;  <potion>som:aeromancy, <duration>1200, <amplifier>0;  
<start_recipe>  <name>tea_geomancy;  <input1> <plant>geomancy;  <input2> <plant>geomancy;  <input3> <plant>geomancy;  <potion>som:geomancy, <duration>1200, <amplifier>0;  
<start_recipe>  <name>tea_animancy;  <input1> <plant>animancy;  <input2> <plant>animancy;  <input3> <plant>animancy;  <potion>som:animancy, <duration>1200, <amplifier>0;  
<start_recipe>  <name>tea_electromancy;  <input1> <plant>electromancy;  <input2> <plant>electromancy;  <input3> <plant>electromancy;  <potion>som:electromancy, <duration>1200, <amplifier>0;  
<start_recipe>  <name>tea_hydromancy;  <input1> <plant>hydromancy;  <input2> <plant>hydromancy;  <input3> <plant>hydromancy;  <potion>som:hydromancy, <duration>1200, <amplifier>0;  
<start_recipe>  <name>tea_spectromancy;  <input1> <plant>spectromancy;  <input2> <plant>spectromancy;  <input3> <plant>spectromancy;  <potion>som:spectromancy, <duration>1200, <amplifier>0;  
<start_recipe>  <name>tea_chaotics;  <input1> <plant>chaotics;  <input2> <plant>chaotics;  <input3> <plant>chaotics;  <potion>som:chaotics, <duration>1200, <amplifier>0;  
<start_recipe>  <name>tea_auramancy;  <input1> <plant>auramancy;  <input2> <plant>auramancy;  <input3> <plant>auramancy;  <potion>som:auramancy, <duration>1200, <amplifier>0;  
<start_recipe>  <name>tea_astromancy;  <input1> <plant>astromancy;  <input2> <plant>astromancy;  <input3> <plant>astromancy;  <potion>som:astromancy, <duration>1200, <amplifier>0;  
